logAge,Mass,Umag,Bmag,Vmag,Rmag,Imag,B-V,V-I
7.0,10.392,-3.869,-2.893,-2.652,-2.537,-2.384,-0.24099999999999966,-0.26800000000000024
7.0,10.819,-4.007,-2.991,-2.737,-2.635,-2.507,-0.254,-0.22999999999999998
7.0,11.014,-4.078,-3.06,-2.804,-2.698,-2.566,-0.2560000000000002,-0.238
7.0,11.141,-4.123,-3.104,-2.846,-2.738,-2.603,-0.258,-0.24299999999999988
7.0,11.534,-4.263,-3.243,-2.98,-2.864,-2.722,-0.2629999999999999,-0.258
7.0,11.903,-4.394,-3.372,-3.104,-2.983,-2.835,-0.2679999999999998,-0.26900000000000013
7.0,12.008,-4.431,-3.409,-3.14,-3.017,-2.868,-0.2689999999999997,-0.27200000000000024
7.0,12.15,-4.48,-3.457,-3.187,-3.061,-2.91,-0.27,-0.2769999999999997
7.0,12.662,-4.657,-3.632,-3.358,-3.227,-3.071,-0.274,-0.2869999999999999
7.0,13.13,-4.823,-3.795,-3.519,-3.386,-3.228,-0.2759999999999998,-0.2909999999999999
7.0,13.562,-4.978,-3.946,-3.671,-3.54,-3.383,-0.27500000000000036,-0.2879999999999998
7.0,13.935,-5.116,-4.082,-3.807,-3.677,-3.52,-0.2749999999999999,-0.2869999999999999
7.0,14.275,-5.239,-4.204,-3.929,-3.8,-3.644,-0.2749999999999999,-0.2849999999999997
7.0,14.634,-5.375,-4.341,-4.067,-3.94,-3.786,-0.274,-0.28100000000000014
7.0,14.982,-5.513,-4.479,-4.208,-4.084,-3.933,-0.2709999999999999,-0.27500000000000036
7.2,0.45,12.649,11.482,10.133,8.891,7.374,1.3490000000000002,2.7589999999999995
7.2,0.469,12.526,11.356,10.011,8.785,7.288,1.3450000000000006,2.722999999999999
7.2,0.5,12.343,11.162,9.816,8.616,7.155,1.346,2.6610000000000005
7.2,0.509,12.299,11.114,9.769,8.575,7.124,1.3450000000000006,2.6450000000000005
7.2,0.534,12.166,10.973,9.629,8.454,7.027,1.3440000000000012,2.6019999999999994
7.2,0.55,12.082,10.882,9.541,8.378,6.964,1.3409999999999993,2.577
7.2,0.567,11.995,10.788,9.45,8.3,6.903,1.338000000000001,2.5469999999999997
7.2,0.598,11.844,10.625,9.291,8.162,6.791,1.3339999999999996,2.5
7.2,0.6,11.834,10.614,9.281,8.153,6.784,1.3330000000000002,2.4970000000000008
7.2,0.624,11.71,10.477,9.147,8.038,6.694,1.33,2.4530000000000003
7.2,0.65,11.583,10.337,9.01,7.919,6.599,1.327,2.4109999999999996
7.2,0.675,11.444,10.177,8.853,7.784,6.498,1.3239999999999998,2.3549999999999995
7.2,0.7,11.313,10.026,8.702,7.652,6.4,1.3239999999999998,2.3019999999999996
7.2,0.713,11.061,9.707,8.371,7.375,6.244,1.3360000000000003,2.1270000000000007
7.2,0.75,10.289,8.797,7.502,6.626,5.831,1.2950000000000008,1.6709999999999994
7.2,0.8,10.054,8.558,7.281,6.422,5.674,1.2770000000000001,1.6069999999999993
7.2,0.823,9.943,8.449,7.183,6.333,5.608,1.266,1.5750000000000002
7.2,0.85,9.782,8.291,7.04,6.203,5.509,1.2510000000000003,1.5309999999999997
7.2,0.899,9.423,7.976,6.764,5.955,5.325,1.2119999999999997,1.439
7.2,0.926,9.212,7.809,6.62,5.829,5.228,1.189,1.3920000000000003
7.2,0.942,9.087,7.712,6.537,5.756,5.173,1.1749999999999998,1.3639999999999999
7.2,0.95,9.011,7.653,6.486,5.712,5.138,1.1669999999999998,1.3479999999999999
7.2,0.981,8.683,7.41,6.282,5.539,4.998,1.1280000000000001,1.2839999999999998
7.2,1.0,8.47,7.255,6.153,5.43,4.908,1.1020000000000003,1.2449999999999992
7.2,1.002,8.452,7.242,6.142,5.421,4.901,1.0999999999999996,1.2410000000000005
7.2,1.05,7.878,6.83,5.802,5.14,4.662,1.0280000000000005,1.1399999999999997
7.2,1.054,7.822,6.79,5.769,5.113,4.639,1.021,1.13
7.2,1.099,7.272,6.394,5.441,4.841,4.4,0.9530000000000003,1.0409999999999995
7.2,1.099,7.263,6.388,5.436,4.837,4.397,0.952,1.0389999999999997
7.2,1.107,7.171,6.323,5.382,4.792,4.357,0.9410000000000007,1.0249999999999995
7.2,1.139,6.763,6.033,5.139,4.588,4.175,0.8940000000000001,0.9640000000000004
7.2,1.149,6.625,5.934,5.056,4.518,4.111,0.8780000000000001,0.9450000000000003
7.2,1.161,6.472,5.825,4.964,4.439,4.04,0.8609999999999998,0.9240000000000004
7.2,1.187,6.137,5.581,4.758,4.261,3.879,0.8230000000000004,0.879
7.2,1.2,5.973,5.461,4.657,4.174,3.8,0.8040000000000003,0.8570000000000002
7.2,1.2,5.967,5.457,4.653,4.17,3.797,0.8040000000000003,0.8559999999999994
7.2,1.229,5.571,5.164,4.406,3.955,3.6,0.758,0.8059999999999996
7.2,1.25,5.271,4.944,4.221,3.793,3.452,0.7229999999999999,0.7690000000000001
7.2,1.257,5.173,4.869,4.158,3.738,3.401,0.7109999999999994,0.7570000000000006
7.2,1.278,4.869,4.634,3.96,3.564,3.241,0.6740000000000004,0.7189999999999999
